"filename", "language", "C++", "JSON", "HTML", "CMake", "Dart", "Markdown", "YAML", "Gradle", "Java Properties", "XML", "Swift", "comment", "blank", "total"
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\search\main_pages\search_result_page.dart", "Dart", 0, 0, 0, 0, 350, 0, 0, 0, 0, 0, 0, 5, 27, 382
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\search\sub_pages\top_250_movies_page.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 3, 41
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\search\widgets\search_text_field.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 3, 39
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\video\video_page.dart", "Dart", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 6, 138
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\video\video_watch_page.dart", "Dart", 0, 0, 0, 0, 282, 0, 0, 0, 0, 0, 0, 0, 20, 302
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\linux\CMakeLists.txt", "CMake", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 38, 26, 139
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 13, 10, 89
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 6, 24
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 4, 15
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 60, 18, 113
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 6, 30
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\web\index.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 59
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\CMakeLists.txt", "CMake", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 25, 18, 102
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 13, 11, 105
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 6, 24
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 12, 7, 40
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 499, 248, 37, 332, 12631, 13, 38, 89, 8, 466, 40, 643, 1772, 16816
